id,user,name,desc,steps,post_time
135,25,coffee banana smoothie,,"combine frozen bananas , milk , yougurt , cinnamon , and nutmeg ina blender container
cover and blend till smooth
to serve , pour into glasses
if desired , garnish with fresh banana slices and mint",2002-03-04
136,164,dilled oat bread,"this is from a book called ""handful of herbs"". i haven't made it yet so let me know what you think.","dissolve 1 tsp sugar in water and sprinkle yeast over , leave in a warm place until frothy
blend together cheese , onion , butter , salt , eggs and the remaining sugar
set aside
mix flour with oats and pour in yeast liquid , stir in cheese mixture & dill seeds
knead until smooth
place dough in a warm , greased bowl and cover with a damp tea-towel
leave dough in a warm place until doubled in size
knock back dough & in a 1
5l casserole , cover & let rise to double again
heat the oven to 180
c and bake loaf for 35 mins or until cooked",2009-03-23
137,141,chicken style seitan,this recipe was derived from a larger food network recipe.  this is just make the seitan part.  from the real food daily show,"preheat oven to 350f
line a 8 inch square pan with parchment paper making sure the sides are 2 inches high
heat 1 tbsp oil in heavy skillet over med
add onion and garlic and saute until tender
set aside
stir flours , yeast and salt in large bowl
puree the beans with 1 / 2 cup canola oil , tamari and onions in blender until smooth adding water to make a smooth creamy bean puree then whisk remaining water into puree in bowl
quickly stir bean into flour until you have a wet dough
transfer to pan and smooth
cover with foil
place this in a water bath
put pan in larger pan and add enough water to come up halfway on sides
this is to ensure even cooking
bake for 2 hours or until seitan is firm on top
add water to pan if needed to maintain half level
cool seitan to room temperature quarter
you should have four 1 pound squares
keep covered and refrigerated for up to two days
frozen: wrap separately in plastic and place in resealable bag
keeps one week",2006-12-11
138,190,chocolate peanut butter oatmeal,"in canada we have a chocolate bar called ""crispy crunch"", and this is what i call this oatmeal in my house. it has protein, soluble fiber, and great taste.","combine the hot chocolate mix and oat flakes
add the water , stir , and microwave for approximately one minute on high
stir well , and add the peanut butter
this will melt into the oatmeal as you continue to stir
i eat it without adding milk , but that is up to you",2005-07-08
139,98,virgin mojito,"i was looking for virgin mojito recipe and was unable to find it on recipezaar. hence a wider search on the wild, wild web. and voilà! found  an interesting looking one on the food and wine magazine's website! have yet to try it but i'm definitely sure the next time i have a little get-together, this will definitely be on my drink menu!","in a glass , muddle / crush the mint , sugar , lime juice and simple syrup
add ice
top with the ginger ale / club soda / sparkling water
for the sugar concious , you can exchange the sugar for splenda and omit the simple syrup
enjoy !",2006-06-05
140,25,savory roasted butternut squash    cluck,"the hardest part of this recipe is peeling the squash!  inspired by recipe recipe #301356 -- reduce the garlic powder, pepper, and thyme, if you don't like it so savory!","preheat oven to 400f
peel , remove seeds , and cut squash into large bite size pieces
place pieces into a medium sized bowl
heat olive oil in a small glass bowl or pyrex measuring cup for about 1 minute in the microwave
combine chicken granules with the warmed olive oil ~ stir until well combined and granules begin to melt
stir in garlic powder , salt , pepper , and ground thyme ~ mix well
pour olive oil / chicken granule / seasoning mixture over squash pieces ~ with a spoon , toss well to coat !
spread pieces onto a shallow sided pan sprayed with cooking spray
cover the pan with aluminum foil and roast for 20 minutes , then remove cover
baste squash pieces with the maple syrup and continue roasting for 15 minutes",2012-01-29
141,59,make ahead snowman cheese ball,this is so cute when decorated and can be made up to a month ahead of an event and stored in the freezer to decorate the day of!,"mix 3 pkg cream cheese and the cheddar cheese
divide into 3 equal parts
combine 2 parts to equal 2 / 3 of mixture
mix in pesto
mix onion , mustard and pepper sauce into remaining 1 / 3 mixture
cover each cheese mixture and refrigerate about 4 hours or until firm enough to shape
shape each cheese mixture into ball
wrap each ball , label and freeze
may be frozen up to 1 month ahead
about 12 hours before serving , remove balls from freezer
thaw in wrappers in refrigerator
arrange balls on serving plate with smaller ball on top for head of snowman
frost snowman with whipped cream cheese before serving
decorate as desired
serve with crackers
store covered in refrigerator
to decorate , if desired , use your imagination to decorate this whimsical snowman !
you can use fresh rosemary and dried cranberries , chopped olive pieces or raisins , pimiento or red bell pepper , radicchio or carrot ribbon , and asparagus spears or celery sticks",2003-11-14
142,105,turtle pretzel candy,these candies couldn't be easier!  minimal fuss produces great results that look wonderful on a holiday cookie tray.,"preheat oven to 250 degrees
place parchment paper on a cookie sheet
spread out pretzels in a single layer
top each pretzel with a piece of caramel candy
bake for 6 to 7 minutes , just until the candy starts to melt
pull pretzels from the oven and top each with a pecan half
let cool",2009-12-28
143,146,easy vegan white bean au pistou,"this is adapted from a recipe in the dinner doctor. it's good for colds. although it's hot, it's intended to be a summer food, making use of fresh summer squash.","place the olive oil in a 4 qt saucepan over medium-high heat
saute the onions , garlic , and squash for approximately 4 minutes
add the beans , broth , tomatoes , spinach , and the olives and mushrooms , if using
boil , then lower heat and simmer while covered for 15 minutes
stir in the pesto and pasta
continue to simmer for about another 5 minutes , until pasta is ready
season with black pepper to taste
salt probably won't be necessary , as canned vegetables tend to have enough sodium added",2005-04-30
144,176,gremolata,"in italy, this is served on top of crusty bread as an appetizer, but i also like it as a side accompaniment to fin fish. and it's extremely healthy!",combine ingredients in a bowl and mix thoroughly,2002-01-27
145,64,whipped green chile sweet potatoes,"the ingredients speak for themselves in this recipe.  very likely to outshine the main dish.  if you're interested in a big departure from the norm, give these a shot.","peel and dice potatoes , place in large saucepan
add enough water to cover and bring to a coil
reduce hat and simmer for 10-15 minutes until tender
place potatoes in large bowl
beat until smooth
add all remaining ingredients except chiles
fold in until butter is melted
fold in chiles
to roast chilies , line broiler pan rack with foil & cut holes in foil
cut chiles in half and remove seeds
place cut side down on foil-lined pan
broil 4-6 inches from heat for 8-10 minutes until skims are charred
place chiles in paper bag for 10 minutes
peel and discard skins
coarsely chop chiles",2008-01-09
146,118,tortellini in mushroom sauce,"easy to prepare, kids also love it.","heat the olive oil in a frying-pan to medium heat
add the garlic and sautee for 1 minute or until gold-brown
add the mushroom and leave at medium fire for 20 minutes
add salt and pepper to taste
reserve 1 / 4 of the mixture and process the rest along with the cream
if it gets too thick , add some milk
while the mushrooms are being cooked , boil water with a drop of olive oil and salt
boil tortellini according to package directions
dry the tortellini and add butter
just before serve , heat the sauce , mix with the tortellini , and add some of the reserved mushrooms on top",2003-09-12
147,28,blue velvet cocktail,the name says it all.,"blend with ice till smooth
pour into parfait glasses
top with whipped cream and drizzle with blue curacao
garnish with a cherry",2009-01-13
148,19,no bake cheesecake,"this is the best no bake cheesecake i've ever had, and it was super easy!!!","put graham crackers in a large reseable plastic bag , and crush them with a rolling pin until very fine crumbs form
pour crumbs into a medium bowl
stir in sugar add butter , and stir until well combined
press crumb mixture into a 9-inch springform pan
spreading it 1 1 / 2 to 2 inches up the side
press flat
chill crust in freezer at least 10 minutes
meanwhile , make the filling
using an electric mixer set at medium high speed , beat cream cheese in large bowl until smooth
beat in the condensed milk a little at a time
beat in lemon juice and vanilla
pour filling into crust , cover and refrigerate 2 1 / 2 to 3 hours
remove side of pan",2005-08-29
149,184,classic sandwich bread,"for sandwiches, toast, and french toast, you just can’t beat a classic american sandwich loaf, with its creamy-white interior, golden crust, and soft, easily sliceable texture.  

i found this recipe on kingarthurflour.com.  it is a wonderfully easy recipe to make with terrific results!","mixing:
in a large bowl , combine all of the ingredients and stir till the dough starts to leave the sides of the bowl
you may need up to 2 / 3 cup of hot water to make a soft , smooth dough
transfer the dough to a lightly greased surface , oil your hands , and knead it for 6 to 8 minutes , or until it begins to become smooth and supple
transfer the dough to a lightly greased bowl , cover the bowl , and allow the dough to rise till puffy though not necessarily doubled in bulk , about 60 minutes , depending on the warmth of your kitchen
shaping:
don't punch down the dough
transfer it to a lightly oiled work surface , and gently shape it into an 8-inch log
place the log in a lightly greased 8 1 / 2 x 4 1 / 2-inch loaf pan , cover the pan loosely with lightly greased plastic wrap , and allow the bread to rise for about 60 minutes , until its domed about 1 inch above the edge of the pan
a finger pressed into the dough should leave a mark that rebounds slowly
baking:
bake the bread in a preheated 350f oven for about 35 minutes , until its light golden brown
test it for doneness by removing it from the pan and thumping it on the bottom , or by measuring its interior temperature with an instant-read thermometer
remove the bread from the oven , and cool it on a wire rack before slicing
store the bread in a plastic bag at room temperature",2006-02-15
150,151,bonnie prince charles,"found this ice cream cocktail on cooks.com. it uses a scottish liquor, drambuie. posted for zwt6.","put all ingredients in a blender
blend until smooth",2010-05-03
151,16,root vegetables with garlic and beef tenderloin,"this dish is for serious garlic-lovers! of coarse you can increase or reduce the amount of garlic, bake the garlic well in advance to save time. a tender cut of beef like beef tenderloin or sirloin steak is recommended since the beef is cooked in the juice for only a short time. this beef dish is almost similar to a stew, but cooked in a much shorter time. serve this with hot cooked egg noodles or pasta.","set oven to 350 degrees
to make the garlic: toss the unpeeled garlic cloves in melted butter and place on a small baking sheet
bake for about 15-20 minutes , or until beginning to brown
set aside to cool
when cool enough to remove the skins , peel the skins from the cloves
in a large pot over medium-high heat melt about 2 tablespoon butter with olive oil
sprinkle the beef with seasoning salt and pepper then dust / sprinkle with about 2-3 tablespoons flour
add to the pot and saute about 6 minutes
transfer the beef to a bowl or plate
add in more oil if needed and saute the chopped onions with the thyme and sage
add in all veggies including the peeled garlic cloves with beef broth and wine
cover and simmer until firm-tender
return the beef to the pot with any juices from the plate or bowl
simmer for 15 minutes
season with salt and pepper to taste
in a small bowl , whisk together 2 tablespoons water with 2 tablespoon flour , and pour into simmering juice
stir with wooden spoon
delicious !",2005-11-05
152,115,chewy lower fat brownies,and without any odd ingredients :)  just plain old fashioned brownies made lower fat. one bowl too! to reduce the fat further sub applesauce for the butter.,"spray an 8 inch square baking pan with non-stick cooking spray
set aside
in large bowl , with fork , stir together flour , sugar , cocoa , and baking powder and salt
stir in butter , egg whites , and vanilla
mix well
stir in walnuts
spoon batter into prepared pan , spreading evenly
bake at 350 degrees for 30 to 35 minutes
let cool
makes 8 servings",2007-12-26
153,131,homemade spice mix,"i got this recipe from cd kitchens.  this spice mix can be used on salads, as a vegetable seasoning mix or a substitute for adobo seasoning.","in a small bowl , combine the 7 ingredients as listed
store in an airtight container for up to 6 months",2007-07-29
154,46,turkey sandwich made with thanksgiving leftovers,this is my favorite thing to make with thanksgiving leftovers and a great way to use up leftover rolls or biscuits...,"place the bottom of one leftover roll or biscuit on a microwave safe plate
cover bottom of the roll or biscuit with stuffing
add a dollop of gravy
pile on some turkey slices
add another dollop of gravy
add some cranberry sauce
cover with roll or biscuit top
microwave on high for 45 seconds
let rest for about a minute and press the sandwich down
turn and microwave for an additional 30 seconds on high or until the gravy is dripping out of the sandwich
this is just as nice using two pieces of any type of bread that you like
if i was in charge of choosing the bread , i would go for thin sliced , seeded , jewish rye with dill
just toast the bread first and adjust the ingredient amounts to cover the bread
this is also good served as a toasted open faced sandwich
enjoy !",2008-11-14
155,121,crock pot tomato potato chicken corn chowder,"this was born shortly after my now five week-old daughter when i needed to literally just throw dinner together, frozen chicken breasts and all. i was thrilled it turned out so flavorful and filling.","lay chicken breasts on bottom of crock pot
pour everything else over the top and stir
cook on low 8-10 hours or high 4-6 hours
if you're home , stir once in a while , as the chicken and potatoes soften , to break them up a bit , though it will probably also work to do that when it's all done",2005-03-12
156,118,enchiladas suizas con pollo,"these are so good! pretty enough for a ladies luncheon, yet kid friendly, too! i like to serve them with a tossed salad, spanish or mexican rice, and refried beans and chips! (canned/pre-cooked chicken, or a rotisserie chicken, can be substituted for quicker prep-time.)
note: these enchiladas are very mild and creamy, not spicy! not everything in mexico is eaten spicy hot! the filling before baking, also will taste bland. but that's because they haven't melted together. after baking, they are very creamy and delicious, and have a very unique flavor. any altering of this recipe will totally change the flavor and i really wouldn't recommend it.","in large bowl , combine well the chicken , the shredded cheese and 3 / 4 of the sour cream , set aside
soft fry tortillas in a little oil , adding more as needed , set aside
in pie dish , pour chopped tomatoes with juice
in 13x9 pan , sprayed , pour a little tomato juice to lightly coat bottom of pan
dip each tortilla in chopped tomatoes , lightly coating with juice , fill with chicken mixture , roll up , place each seam-side down into pan
pour remaining tomatoes down over middle / center of filled , rolled tortillas
top each with a slice of swiss cheese
bake , uncovered , in 350 oven for 20 minutes
top each with a dollop of sour cream , and bake 5 minutes longer
can sub: mexican-style tomatoes and can add 1 can chopped green chilies , drained , to chicken mixture if desired
just stew them for about 20 minutes or til done",2003-01-24
157,173,scottish harvest festival soup,"in scotland the harvest festival usually takes place during september. offerings of fruit and vegetables are placed around the church altar for a thanksgiving service that would make sure there was a good crop for the next year. congregation members who did not grow their own vegetables or fruit bring caned goods. after the service the offerings of fresh produce and canned goods are given to those less fortunate. people take great pride in decorating the churches and often keep the best of the harvest from their own backyard crops for this festival. at the end of the service the produce items that have been left as offerings are each blessed and sent to hospitals and other institutions for the sick and needy. in addition to taking lots of our garden produce to church, my mother used to make gallons of this soup and then hand-deliver it to some residents of our village who not only were less fortunate than we were, but also were too infirm to prepare foods for themselves.","melt the butter in a large saucepan , place all the prepared vegetables into the pan and stir over a gentle heat to coat with the butter
dissolve the stock cubes in the water and pour over the meat and vegetables
add the salt and pepper and simmer gently over a low heat for 1 hours
remove the soup from the heat if not needed immediately
to serve , bring to the boil , check the seasoning and add more salt and / or pepper if desired
the soup may be liquidized or pured and then reheated for a smoother texture , if preferred",2002-04-22
158,52,pop pop potatoes,"my dad, arel gets credit for these awesome spuds. he has made them for my boys since they were little, and they still request them in their teenage years at every visit. super easy, and the kinds of potato, oil and spices can be changed to suit any preference, although this is the masters' blend. we love them best finished on the top rack of the grill when the steaks are on, and nice big jersey tomatoes sliced on the side.","ok -- dad's directions go like this -- cut , nuke , slash , oil , season
which for the rest of us really means: wash the spuds and halve them , then cook them in the microwave until almost fully done
pull them out , slash cross-hatches in them and oil with a brush , then season them as liberally as you like
put them out on the grill on the top rack for ""two beers worth"" of time until nicely browned and kinda crusty on the bottom
if you like you can also do them in the oven like me along with the casserole or meat that is already in there at 350 or higher
they might not get as brown , but are still very yummy !",2008-12-08
159,6,rick s crock pot smothered steak,"this is really basic, but turns out well every time. i'm sure all of the readers can add their own touches to make it their own. i think the franco american brand gravies are now campbell's.","mix gravy , soup , and water in a bowl
place all ingredients except mushrooms in crock pot
cook on low 6 to 8 hours
add mushrooms during the last half hour
add kitchen bouquet to color if gravy is too pale
serve gravy over rice or mashed potatoes
variations:
use 1 can mushroom gravy in place of mushroom soup
use cream of celery soup in place of mushroom soup",2005-04-01
160,123,whole roasted beef sirloin with chasseur sauce,"i have not tried this, placing here for safekeeping. this recipe was posted on the napa valley wine site along with the horseradish potato soufflé that i have posted as well. i think this would be a lovely holiday dinner.","coat meat with olive oil and season with salt and pepper
in a preheated 350f oven , roast for approximately 30 minutes or until internal temprature reaches 130f for medium rare
serve with chasseur sauce
for the chasseru sauce - melt butter in a heavy saucepan
add shallots and mushrooms , saut until butter is absorbed
add red wine and bring to a boil , then simmer until reduced about 10-15 minutes
add brandy and flame
add veal demi glace and bring to a light simmer
add parsley and tomatoes to finish
season with salt and pepper",2009-11-30
161,11,my famous lasagna,my famous lasagna,"boil noodles for 20 minutes
in a skillet , brown ground beef , drain grease
add onions , peppers , salt , pepper , cottage cheese & tomato sauce
layer pan w / noodles , meat mixture & cheese -- repeat as needed
bake for 20 minutes until cheese is golden brown",2008-07-15
162,55,italian sausage and or meatball subs,"take recipe #255242, 2 good quality italian hoagie rolls, and good quality cheeses and dive in! this can also be made using meatballs in place of the sausage for an italian meatball sub, or a half sausage/half meatball sub.  :)","preheat oven to 375f place one rack in center of oven , the other on the top shelf for broiling
spray an 8x8 pan with non-stick cooking spray
bake sausage on the center rack for 20-25 minutes till cooked thru , turning once
meanwhile , using a medium pot , heat olive oil over medium heat
add peppers and onions , reduce heat to low and cover
simmer for 10-15 minutes or until peppers are just soft , stirring occasionally
add pizza sauce and continue to simmer until sausages are cooked thru
create aluminum foil 'boats' around each opened sub roll and place on a baking sheet
remove sausages from oven , and place the 'boats' into the oven to lightly toast
place the links on a cutting board and using tongs , steady the links and cut into 1 / 2"" slices and add to the pot of sauce , stirring to coat
when buns are toasted , remove from oven keeping the buns on the baking sheet , place the sausage mixture on the bottom half of the bread
top sausage mixture with provolone
to the top half , spread thinly the remaining sauce and then sprinkle generously with the mozerella cheese
return subs to top rack of oven and broil for 1-2 minutes till cheese is melted and bubbly
allow to cool slightly before serving
using the foil boats to keep the sandwich together
just pull down from one side and dive in !",2008-06-12
163,59,passover cottage cheese cake,in the early 1990’s gourmet magazine did a series of passover cakes which i now cannot find on epicurious.com.  i had copied some of them and am posting them here.  (preparation and baking time shown does not include cooling and refrigeration time.),"set oven rack at middle of oven
preheat oven to 325 degrees f
prepare the crust:
in a small bowl with an electric mixer , beat the butter until smooth
add matzo meal , sugar and cinnamon
beat until it resembles coarse meal
add wine , blend just until it holds together
press onto bottom of an ungreased 8 inch springform pan
prepare the filling:
in a large bowl with an electric mixer , beat the cottage cheese and cream cheese until smooth
add the egg yolks one at a time , beating well after each addition
beat in sugar
add sour cream , potato starch , rind and vanilla
beat until combined well
in a separate bowl with clean beaters , beat egg whites until they just hold stiff peaks
stir cup of the beaten egg whites into the cheese mixture
fold in remaining egg whites gently but thoroughly
pour on top of prepared crust
bake for 1 hour
turn off oven
let cake cool in oven with door slightly open
chill in the pan at least 4 hours or overnight
run a thin knife around edge of pan
remove side of pan",2006-10-02
164,128,crescent chicken squares,"similar to the other recipes, but the lemon juice in this version adds just the right tang.","preheat oven to 350 degrees
melt butter and set aside 2 t
for later
blend softened cream cheese and remaining butter until smooth
add all but last two ingredients and stir together
separate crescent roll dough into 4 rectangles and pinch together the perforations between triangles in each
spoon 1 / 8 of meat mixture into center of each rectangle
for each , pull the 4 corners of dough together at the top and twist
seal edges by pinching dough together
use reserved butter to brush each stuffed square , then sprinkle bread crumbs on top
bake on ungreased cookie sheet for 25-30 minutes , until lightly browned",2008-01-23
165,23,san francisco marriott s pink punch,easy and very delicious!,"mix the juices and the sugar together and stir thoroughly until sugar dissolves
right before serving the punch , add ice and then slowly add gingerale so that it will be fizzy when served",2004-08-05
166,126,awesome shredded beef  burritos or tacos  crock pot,"this recipe is so easy and the shredded beef makes fantastic filling for burritos or tacos. i buy can of enchilada sauce to smother the burritos with and then top with shredded lettuce, tomatoes, onions, sour cream, shredded cheese and of course my own homemade salsa recipe #239651. my father declares them ""better than restaurant burritos"".","place roast in crock pot
sprinkle with taco seasoning , salt and pepper
top with diced tomatoes
cook on low 8-10 hours
remove beef from crock pot and shred with two forks
return beef to crock pot for 30 minutes or so
serve rolled in flour tortillas with your favorite toppings or in taco shells with your favorite toppings",2007-04-30
167,54,chicken perket aka croatian chicken stew,"i combined 3 separate recipes from my croatian heritage to come up with this americanized version.

from my food blog at: http://www.comfortcookadventures.com/2013/07/doesnt-matter-what-language-you-speak.html","set a 6 quart crock pot on high
spray inside with nonstick cooking spray
begin layering ingredients inside tomatoes , onion , bell pepper , cup flour sprinkled evenly over all , 1 tablespoon garlic
place in the chicken breast pieces and spread the remaining cup of flour over them
add the mushrooms , remaining garlic
then evenly sprinkle over the black pepper and paprika
pour the stock and white wine over the top
cover and cook for 3 and hours
remove chicken and 1 / 4 of the vegetables
use a stand or immersion blender to puree the remaining vegetables , and thicken the liquid
return the chicken and reserved vegetables to the pot
cover and cook for another half hour before serving
also during that last half hour , prepare the pasta to desired tenderness
place a serving into bowl and top with sauce , chicken and some vegetables",2013-07-05
168,39,dairy free alfredo sauce,"this is a pretty simple recipe. it's a pretty small batch, so you may want to double it. the recipe needs no dairy-free cheese, but feel free to add some or sprinkle on top.","heat oil over medium heat in a large skillet
add minced garlic and lightly saute just until fragrant
stir in the flour and stir for about one minute
this will be thick
slowly pour in the milk
add salt , pepper , oregano and nutmeg
stir until creamy and thick
turn off the heat and stir in nutritional yeast
serve over your choice of pasta",2005-11-03
169,131,kittencal s simple spaghetti squash   vegetarian,"plain and simple served with melted butter and parmesan cheese, this is so good! --- you may increase the squash and adjust amounts to taste.","set oven to 400 degrees f
slice the squash evenly in half lenghwise
drizzle the cut sides of the squash with about 1 tablespoon olive oil then season lightly with salt and pepper
place cut-side down on a parchment-lined baking sheet
bake for about 45 minutes to 1 hour or until the squash is tender when pierced with a fork
remove the squash from the oven and cool slightly
shred the inside of the squash with a fork into a bowl
drizzle melted butter
season with more salt and black pepper if desired , then sprinkle with grated parmesan cheese on top
delicious !",2008-07-19
170,169,strawberry lemon slush,spruce up ordinary lemonade by adding purees strawberries and crushed ice. very refreshing and  thirst quenching in the summer.,"put 1 cup of water , lemon juice , sugar and 2 cups strawberries in blender container
adjust lid
blend till the berries are pureed and the sugar is completely dissolved
in a pitcher combine strawberry mixture with remaining 2 cups water and a few drops of red food coloring
mix well
add crushed ice , sliced strawberries and lemon slices to strawberry mixture in pitcher",2009-06-01
171,28,hot   spicy pumpkin soup,a fast & no-fuss soup that is very filling & extremely low fat.  fits well into any weight watchers plan.  can be made with either vegetable or chicken broth.  try the vegetable for a nice change of pace!,"in a dutch oven , heat enough olive oil to just coat the bottom
add the onions and garlic & cook until they are softened
mix in the pumpkin , carrots , tomatoes , broth , and spices
cook for 20-30 minutes on medium-low heat
stir in the fat free half & half before serving",2009-01-11
172,117,sweet and savory lasagna,"the secret ingredient in this lasagna is the brown sugar in the sauce. it gives it such a savory taste! i also really like using cottage cheese instead of the traditional ricotta — it's more moist, tastes delicious, and is also cheaper. this lasagna is very saucy and can be soupy the day it's made (especially if you are using a smaller pan with 12 noodles instead of 15). it still tastes great though. by the second day the noodles will suck up the excess sauce but leave enough so that this lasagna never gets dried out (i can't stand dry lasagna). hope you enjoy it as much as my husband does!","boil the lasagna noodles until done
rinse
brown the ground meat , onion , and garlic
drain fat
in a large bowl , mix the spaghetti sauce and brown sugar
in another bowl , mix the eggs , 3 cups of mozzarella , and cottage cheese
preheat oven to 350
in a large , deep casserole dish , start layering your lasagna
start with sauce , then noodles , then half the meat , more sauce to cover the meat , and half the cheese mixture
repeat
you will end with the third layer of noodles covered in the last of the sauce
be generous with the sauce even if it seems to be getting soupy
the noodles are going to suck it all up
cover with foil and bake at 350 for 45 minutes
remove foil cover and spread the remaining mozzarella cheese on top
sprinkle with parsley for color
bake uncovered for another 10 minutes or until cheese is completely melted
let cool for at least 10 minutes before serving",2012-11-26
173,33,mussels in garlic butter,"this is a very quick and simple recipe for mussels. 
i am not a seafood eater myself but the family do enjoy these.","cream the butter with the garlic and parsley in a bowl and set aside
place the mussels in a saucepan with the remaining ingredients , bring to boil and simmer for 3 minutes or until the mussels open
detach the lid from the base and place the mussels still sitting in their shells on a baking sheet
dot generously with the garlic butter and grill until the butter has melted
serve the mussles on their own or in the wine broth",2009-03-22
174,133,rice krispie turkey,this year i am doing an 'animal' theme for my wednesday night cooking activities. i thought this would be perfect for fall.,"follow the rice krispies treats recipe on the cereal box
drop heaping spoonfuls of the mixture onto waxed paper and let them sit until they're cool enough to handle
for each turkey body , create a ball the size of a fist
the heads should be about the size of golf balls
stick the heads to the bodies
to make feathers , thread licorice onto the skewers or toothpicks
poke about six into the back of each turkey
use the melted chocolate chips as ""glue"" by pouring the melted chocolate into a ziploc bag and snipping a tiny hole in one corner
use this to attach the following items: for eyes , use the marshmallows with chocolate for pupils
for the beak and feet , use candy corn
for the wattle under the bird's neck , use licorice
makes about six to eight turkeys",2008-09-19
175,141,last minute garlic cheese dip,"this is what i served when last minute guests dropped in for a sip of wine. it was very good and probably would have been nicer after chilling. but if you don't have the time just serve in a bowl for dipping with pita chips or crackers. also, use whatever herbs you have on hand.","pop all ingredients , except herbs , into the bowl of your food processor and pulse until all is very well combined
put cheese mixture into a nice serving bowl and mix in the herbs
chill or serve as it , and enjoy !",2008-07-13
176,62,chocolate covered bon bons,my friend gave me this recipe.  these are easy and taste amazing.  instead of getting the paraffin you can get the chocolate made for melting.,"melt margarine and combine with all bon bon ingredients
make into balls
chill or freeze at least 2 hours
melt paraffin in top of double boiler
add chocolate chips
melt together
drop in balls and cover with chocolate
chill until chocolate is hard and serve",2005-11-12
177,186,better than fortnums caraway seed cake,this is originally an australian womens weekly recipe.i sell cakes and one of my customers made the remark that led to my re-titling it as above. it is very easy to make and delicious.,"using an electric mixer beat all the ingredients together well until changed colour
put into greased and lined 2lb loaf tin
bake at 160 c or 325 f for about 1 hour",2004-03-26
178,77,beefy tomatoes,what an intriguing and tasty side dish. anything ,"cut a thin clice off the top of each tomato and discard
remove core
carefully scoop out pulp , leaving a 1 / 2 inch shell
reserve 1 c
pulp
in a nonstick skillet , cook beef and onion over medium heat until meat is no longer pink
drain
stir in the basil , salt , pepper , and reserved tomato pulp
bring to a boil
reduce heat
simmer , uncovered for 10-12 minutes or unti the liquid has evaporated
stir in the rice , cheese , and egg
heat through
spoon into tomato shells
place in a shallow 2 qt
baking dish coated with nonstick cooking spray
bake , uncovered , at 350 degrees for 20-25 minutes or until heated through",2004-02-08
179,34,salmon in puff pastry,a tasty salmon pie which i've adapted from a recipe i found on a website with jewish recipes.  posted for the 2005 zaar world tour.,"preheat oven to 350 degrees
place the salmon in large baking pan , pour the white wine over the salmon , cover and bake for 1 hour
warm the oil in a small non-stick pan and , when it is hot , saut the onion and garlic over a medium-high heat , stirring , until it has begun to soften
set aside until needed
remove the salmon from the pan and allow it to cool
break the salmon into small pieces and combine it with the sour cream , onion , garlic and dill , and mix until all the ingredients are well-combined
lay one sheet of puff pastry on a greased baking sheet , and spread the salmon mixture over the pastry leaving a 1 / 2 inch border along all sides
top with the remaining puff pastry sheet , and crimp and seal the edges
brush the top of the pie with egg wash and bake it for approximately 1 hour or until the top has begun to lightly brown
add a little at a time
you don't want the filling to be too liquidy but you do want it moist
if you have extra puff pastry , you can make decorative shapes on the top of the pie",2005-09-06
180,68,mocha crumb crust for cheesecake,i saw a cheesecake recipe on the hershey's website which had a separate recipe for a mocha crumb crust. i haven't tried it yet but i think it would be a great change from a regular graham crust or chocolate crust on a plain cheesecake.,"heat oven to 350f
stir together crumbs , sugar , cocoa and instant espresso in medium bowl
add butter
stir until well blended
press mixture firmly onto bottom and 1-inch up side of 9-inch springform pan
bake 8 minutes
cool slightly",2011-01-04
181,109,orange rice pudding with minted orange cranberry glaze,"from chef and cookbook author michel nischan as printed in our local newspaper. the basmati rice i think, gives the pudding an especially delightful flavor and lovely scent. time to dust off the ol' rice cooker! freshly squeezed orange juice is the way to go! fyi: i was out of oranges and basmati rice when i prepared this last time so i used honey tangerines and jasmine rice instead! really good!","orange / cranberry glaze: place the orange juice and cranberries in a small saucepan
bring to simmer over medium heat and reduce mixture by half
this should take about 15 minutes
stir in the honey
rub the mint leaves vigorously between your fingers to release the natural oil then stir into the glaze
let mixture stand 10 minutes , then remove the mint
pudding: in a medium size saucepan , place the half and half and milk
add the raw sugar , vanilla bean or extract and orange zest
bring to a simmer over medium heat , stirring continually until the sugar is dissolved
place the eggs in a medium mixing bowl
now {{slowly}} pour the hot milk liquid into the eggs while whisking constantly until the liquid is absorbed
next , whisk in the orange juice and stir in the hot rice and dried cranberries
pour the mixture back into the saucepan and cook over medium heat until the mixture becomes hot and slightly thickened , approximately 3-4 minutes
keep stirring constantly to avoid scorching
preheat oven to 350 degrees
spray or butter a 9x9 inch baking dish
pour the warm pudding into the prepared baking dish and bake in oven for 15 minutes , or until the pudding is {{softly}} set
use an ice cream scoop to portion out the pudding
drizzle the prepared orange / cranberry glaze over each serving and garnish with fresh mint leaves if desired
each serving is approximately 7 ounces",2006-01-03
182,22,butter rum baked apples,a wonderfull camp recipe using your dutch oven!,"preheat dutch oven to 450f
cut off top third of each apple and reserve
scoop out seeds and some of flesh from apples using a melon-ball cutter or round teaspoon measure to form a cavity
stand apples in dutch oven tightly
heat remaining ingredients in a small saucepan over moderate heat , stirring , until sugar is dissolved
pour some of syrup into cavity of each apple and remainder into dutch oven
return apple tops to apples and cover oven
bake in oven until apples are tender , 25 to 30 minutes
makes 8 servings",2007-03-03
